person_id,status,reason
152616,ok,
152617,ok,
152628,ok,
152629,ok,
152635,ok,
152638,ok,
152639,ok,
15265,ok,
152650,ok,
152651,ok,
152652,ok,
152653,ok,
152654,ok,
152655,ok,
15266,ok,
152665,ok,
152667,ok,
152668,ok,
152674,ok,
152678,ok,
152683,ok,
152684,ok,
15269,ok,
15270,ok,
152723,ok,
152724,ok,
152747,ok,
152749,ok,
152760,ok,
152761,ok,
152785,ok,
152787,ok,
152827,ok,
152833,ok,
152843,ok,
152844,ok,
152848,ok,
152864,ok,
152874,ok,
152875,ok,
152883,ok,
152884,ok,
152885,ok,
152899,ok,
152900,ok,
152918,ok,
152928,ok,
152940,ok,
152942,ok,
152964,ok,
152965,ok,
152990,ok,
153006,ok,
153010,ok,
153053,ok,
153055,ok,
153056,ok,
153065,ok,
153066,ok,
153102,ok,
153115,ok,
153116,ok,
153118,ok,
153133,ok,
153134,ok,
153140,ok,
153158,ok,
153183,ok,
153219,ok,
153265,ok,
153271,ok,
153360,ok,
153361,ok,
153362,ok,
153363,ok,
15338,ok,
153380,ok,
153381,ok,
153388,ok,
15340,ok,
153401,ok,
153402,ok,
153488,ok,
153489,ok,
153508,ok,
153509,ok,
153510,ok,
153513,ok,
153514,ok,
153519,ok,
153520,skipped_no_route,"no pedestrian route 88675735->85645111#2 (disconnected components (vclass=pedestrian, component_visits~1))"
15354,ok,
153541,ok,
153542,ok,
15355,ok,
153568,ok,
153569,ok,
153578,ok,
153579,ok,
153580,ok,
153581,ok,
153582,ok,
153583,skipped_no_route,"no car route 81204033#2->-783682934#1 (disconnected components (vclass=passenger, component_visits~3))"
153618,ok,
153619,ok,
153620,ok,
153633,ok,
153634,ok,
153635,ok,
153651,ok,
153652,ok,
153653,ok,
153663,ok,
153664,ok,
153667,ok,
153668,ok,
153675,ok,
153679,ok,
153683,ok,
153684,ok,
153709,ok,
153722,ok,
153723,ok,
153771,ok,
153772,ok,
153773,ok,
153774,ok,
153775,ok,
153792,ok,
153793,ok,
153794,ok,
153795,ok,
153811,ok,
153822,ok,
153824,ok,
153862,ok,
153863,ok,
153864,ok,
153865,ok,
153875,ok,
153876,ok,
153924,ok,
153925,ok,
153927,ok,
153936,ok,
153950,ok,
153954,ok,
153955,ok,
153976,ok,
153996,ok,
153997,ok,
153999,ok,
154014,ok,
154015,ok,
154029,ok,
154030,ok,
154031,skipped_no_route,"no car route 124212010->31903805#2 (disconnected components (vclass=passenger, component_visits~154534))"
154032,ok,
154033,ok,
154034,ok,
154035,ok,
154036,ok,
154041,ok,
154043,ok,
154044,ok,
