trip_id,route_id,route_short_name,route_color_hex,rgb
CA_LA_ROCHELLE:VehicleJourney:C3325542,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325543,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325544,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350315,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350317,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350369,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350391,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350412,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350415,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350417,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350419,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350437,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
